<t> cnn hero of the year has been warned not to use main water line to risk of cholera .   koirala 's group is home to 115 girls of sex trafficking .   all of the children have been sleeping . </t>
<t> thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets .   the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be .   among the bacteria found on a ten pound note is bacillus mycoides . </t>
<t> danilo will join real madrid in the summer in a deal worth # 23million .   porto and brazil have won the last eight of this year 's champions league .   rodriguez was sold on to monaco in 2004 champions league . </t>
<t> carrie reichert , 43 , claims she felt ` overdressed ' when she saw him playing strip billiards .   she says she could n't help but notice how ` adorably cute his naked a ** was '   in january , england-born ms reichert said she planned to use a pair of the prince 's underpants for a strip tease act .   prince harry was said to have invited 10 women to party with him at the encore . </t>
<t> eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .   the qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n ***** ' but wrote : ' i am not racist '   ` apes were never meant to drive so stop , ' said one of the notes .   she has been living in the neighborhood for 11 years but now plans </t>
<t> justin rose missed the cut in three of his previous five tournaments on the pga tour .   rose believes his finish of second at augusta can lead his season .   rose arrived at augusta national and is the first european player to win the us open and masters . </t>
<t> zbigniew huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of chloe , yesterday afternoon in france ` while drunk '   she was stripped naked and sexually assaulted and after being forced into huminski 's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the uk .   chloe 's mother named only as isabelle , ` heard her daughter 's screams ' as she was being taken away from outside her school in calais 90 minutes after she </t>
<t> mary ann diano was left homeless when the storms hit staten island , new york , in october 2012 .   the 62-year-old 's home has lived in a trailer park in connecticut every since the disaster where she met her partner dennis krauss .   the couple met after they lost their homes and were swept away by the waves . </t>
<t> cesc fabregas was caught in the face by stoke city midfielder charlie adam .   chelsea midfielder suffered a broken nose playing for spain in 2008 .   chelsea midfielder cesc fabregas took to instagram to show off the shiner . </t>
<t> maren sanchez is being charged with murder as an adult over the stabbing of sanchez .   the crowd filled a baseball field behind milford 's jonathan law high school , where she was attacked and killed in a hallway on april 25 , 2014 .   her classmates and event organizers said the idea was to remember sanchez on the anniversary of her death as she would have wanted . </t>
<t> council has ruled they can stay .   it is the final defeat in a battle that involved two generations of alexander 's family .   mrs alexander 's aunt found her vegetable patch at the property would not grow eating because of the leylandii . </t>
<t> catherine nevin was given life in prison for arranging to having her husband shot dead .   the 62-year-old was permitted to attend an addiction studies course .   black widow catherine nevin took her way from dublin 's dochas centre to the oblates in the city 's inchicore suburb . </t>
<t> didier drogba hopes to inspire footballers in africa to fall in love with the game .   the 37-year-old scored against leicester on wednesday .   zebeto is one of the children inspired by drogba . </t>
<t> figures from the catholic church show the number of women becoming nuns in britain has trebled from 15 in 2009 to 45 last year .   from a low of only seven in 2004 , the figure has been rising for the past decade .   theodora hawksley is now a nun at the university of edinburgh . </t>
<t> qpr beat west brom 3-0 at the hawthorns on the 35th minute .   bobby zamora scored qpr 's second goal of the game .   chris ramsey will hope queens park rangers ' season . </t>
<t> ` very lucky ' skating with a full face mask during practice , the detroit forward openly bore a cut that could have cost him his eyesight .   miller was left with a scar across his eye , but reportedly did n't suffer any damage to his eyesight after another player cut him across his face .   miller said he wanted to come back for the third period after being stitched up . </t>
<t> jurgen klopp will be a top manager at the end of the season .   germany international mertesacker says klopp would be good fit in the premier league .   jurgen klopp has been linked with arsenal in the bundesliga . </t>
<t> at least nine job listings have been spotted on apple 's official recruitment site in the past month that relate to batteries .   the battery will last for 48 hours if checked five times an hour .   it says its all-day battery life is based on 18 hours of use .   this includes 90 time checks , 90 minutes of app use , and a 30-minute workout with music . </t>
<t> andy murray arrived back in britain on monday restored as world no 3 in the mens final .   novak djokovic beat murray novak djokovic in the miami open final at crandon park tennis center on saturday .   murray and djokovic face monte carlo open on saturday . </t>
<t> paula dunican spent # 25 on the baby blue coat at her canterbury branch .   she noticed a dark stain ` seeping through ' from the lining of a jacket .   the supermarket has offered her a refund and # 40 voucher . </t>
<t> ronnie carroll died just days after successfully getting on the general election ballot paper for hampstead and kilburn .   mr carroll was on the statement of nominations as ` the eurovisionary carroll '   mr carroll could still be elected as an mp despite dying two days ago .   carroll died following a battle with cancer . </t>
<t> espn sports reporter britt mchenry suspended for one week .   her car had been towed from parking lot of chinese restaurant in virginia .   network has reinstated the 28-year-old to her role with a spot on sportscenter . </t>
<t> chloe owens , 27 , from swanley , kent , came up with the idea for bump 2 breast when she was pregnant with daughter lola , now three months old .   she also admits she struggled to remember which boob she had used last when breastfeeding so included a breast-tracking feature .   the mobile app has already been downloaded 20,000 times . </t>
